organisms	experiment_acc
MUS_MUSCULUS	GSE27010
HOMO_SAPIENS	GSE55673
HOMO_SAPIENS	GSE64738
MUS_MUSCULUS	GSE26745
CHLOROCEBUS_AETHIOPS	GSE31177
HOMO_SAPIENS	GSE51739
MUS_MUSCULUS	GSE2899
HOMO_SAPIENS	GSE42088
HOMO_SAPIENS	GSE62572
PAN_TROGLODYTES	GSE62572
MUS_MUSCULUS	GSE39916
HOMO_SAPIENS	GSE27198
MUS_MUSCULUS	ERP109841
HOMO_SAPIENS	GSE41571
HOMO_SAPIENS	GSE56449
HOMO_SAPIENS	GSE33870
HOMO_SAPIENS	GSE53731
HOMO_SAPIENS	GSE53733
HOMO_SAPIENS	GSE53245
HOMO_SAPIENS	GSE52361
HOMO_SAPIENS	GSE60159
HOMO_SAPIENS	GSE78234
HOMO_SAPIENS	GSE37258
MUS_MUSCULUS	ERP106769
HOMO_SAPIENS	GSE20689
HOMO_SAPIENS	GSE50628
HOMO_SAPIENS	GSE56352
HOMO_SAPIENS	GSE34514
HOMO_SAPIENS	GSE4060
HOMO_SAPIENS	GSE39395
HOMO_SAPIENS	GSE28167
MUS_MUSCULUS	GSE72517
HOMO_SAPIENS	GSE41445
HOMO_SAPIENS	GSE36821
HOMO_SAPIENS	GSE47063
HOMO_SAPIENS	GSE27276
HOMO_SAPIENS	GSE71765
MUS_MUSCULUS	GSE4712
HOMO_SAPIENS	GSE55624
HOMO_SAPIENS	GSE40241
HOMO_SAPIENS	GSE32667
HOMO_SAPIENS	GSE52460
HOMO_SAPIENS	GSE54380
HOMO_SAPIENS	GSE59931
HOMO_SAPIENS	GSE27202
HOMO_SAPIENS	GSE31773
HOMO_SAPIENS	GSE50998
HOMO_SAPIENS	GSE40123
HOMO_SAPIENS	GSE51231
MUS_MUSCULUS	GSE6674
HOMO_SAPIENS	GSE45426
HOMO_SAPIENS	GSE40624
HOMO_SAPIENS	GSE34776
MUS_MUSCULUS	GSE97472
HOMO_SAPIENS	GSE53005
MUS_MUSCULUS	GSE27038
HOMO_SAPIENS	GSE54157
HOMO_SAPIENS	GSE46634
